input,output
[0.02683475381668643],0.02683153329699487
[2.1366729500033177],0.8441189180332557
[2.9929897758636326],0.14805655297839576
[5.784940890627762],-0.47788413116342704
[0.9243394562796663],0.7982230509407421
[3.991790537904347],-0.7514109907424859
[8.43135257231576],0.8379005461769886
[-0.2583504330954316],-0.2554860779231379
[1.8211155530257308],0.9688333945098829
[2.4341721398691902],0.6498754205688267
[1.0026126594412847],0.8428797371881549
[7.4012412613098455],0.8992517551690866
[-3.787788278389101],0.6021534320727444
[-7.271180473869592],-0.8349242674853683
[-8.40894202636656],-0.8499213105668121
[0.48321529587136247],0.46462873477669503
[-6.8736846073693165],-0.5567758423836852
[5.450010877925315],-0.7400699948031705
[4.456681749984748],-0.9674846580818087
[-0.4709601010401627],-0.45374207215451623
[7.122542809174984],0.7442141227709077
[8.616784416275895],0.7229022694306424
[-7.85728508588832],-0.9999945436076886
[0.11456633475913236],0.1143158768288018
[-9.439895649941965],0.015117113334981455
[8.385796999901324],0.8618879213033084
[8.015990254276243],0.9869052822955928
[-4.747738034119342],0.9993752872552059
[0.4149054252416562],0.40310338167774545
[9.468716627374235],-0.04392452992421487
[-3.2087901245356605],0.0671469106646521
[1.2567848789004792],0.9511021840133085
[1.5264550641569503],0.9990170872756251
[1.4120504786549866],0.9874263161451593
[-4.360358261049468],0.9386744472165602
[6.866180342065864],0.5505267099143856
[2.1882703889736437],0.8153435173711563
[8.149220727866911],0.9567326008510035
[3.29532346278954],-0.15312600014118938
[-2.3178551694419465],-0.7336905081337018
[-9.086078617411726],-0.33226061028741954
[4.656366944064118],-0.9984311760963506
[-9.982994050857297],0.5296739267260504
[2.494939308086245],0.6025188042154646
[0.01923859626044333],0.01923740950603268
[5.054500820949105],-0.9420482922018354
[-2.7434895078082544],-0.3876705243501438
[-1.863354422202379],-0.9575092479352986
[0.7006245843994048],0.6446952700483333
[9.696809468270061],-0.26868879274385427
[-2.3182632343596588],-0.7334131735533566
[5.45854820915525],-0.7343014842193795
[1.622000054332684],0.998689375532634
[-0.5827692026018756],-0.5503381671231371
[-2.164438963930384],-0.8289085494702199
[-3.1768312060067956],0.03523125992496342
[-1.530660100820553],-0.9991946498036458
[9.655534855687826],-0.22871442130845399
[-1.1993642852495423],-0.9318085414792953
[3.377997225819767],-0.2342087220213906
[-8.044379688788375],-0.9819289811288406
[-3.06937840715217],-0.0721514978203773
[0.31691585581436854],0.3116374902930208
[-9.710752009018632],0.28209207452326246
[9.584375007449275],-0.1589203871791186
[7.535747470560107],0.9497894109925971
[8.642669892814006],0.7047765094700589
[-4.428238926790704],0.9599002747598462
[6.127067019459837],-0.15548488369133992
[-8.29151310891145],-0.9058003477937665
[-7.919646123658688],-0.9978448619457836
[6.955562755306701],0.6228477256464315
[-5.4989533876498875],0.7062816415494189
[1.1547000502648626],0.9146737630218261
[5.960147442616799],-0.3174487533124215
[-5.35152628941483],0.802610654460759
[3.9316624004436704],-0.7104023616861503
[6.2673729290307385],-0.015811719225500984
[1.1573684159051307],0.9157490398940912
[8.81397022937097],0.5735293285901971
[-7.1849751583532235],-0.7844382436448232
[-7.749481198889423],-0.9945447966353833
[-7.940311171269743],-0.9962759192563286
[-3.0742731108030537],-0.06726870650091431
[-1.380605963905662],-0.9819682655996329
[0.03820639953893412],0.038197105052651066
[-3.4299560388479255],0.28438356678942445
[5.298632193186105],-0.8330249404393562
[3.4160110848952527],-0.2709871747002941
[4.50197575054311],-0.9779446893714694
[7.649284696789486],0.9791226331931426
[3.4154830997932812],-0.2704789074913279
[2.6519895493389143],0.4702756569514982
[-1.328975112138167],-0.9709034567066122
[-6.944700331278528],-0.614313005141458
[3.7828217125868555],-0.598180813064445
[9.944587524199243],-0.49671486432670936
[-8.805364164509143],-0.5805579621376663
[2.546300763047098],0.5607504593323726
[2.898984473421338],0.24023523949976267
[-0.27463582953482124],-0.2711964321256452
[6.989225159104308],0.6488254422739985
[-9.161893230515332],-0.2598672527639591
[-6.002820957586019],0.27670579037151805
[-0.058451822526201624],-0.05841854364407491
[-6.662999932717826],-0.3707483123338942
[-9.825185153660138],0.389793359503041
[-1.3324090547737022],-0.9717200611900453
[-2.9695725048947086],-0.17117303027700365
[-5.997168506410451],0.2821330904916297
[8.6626643097622],0.6904519554491562
[7.2000864950481045],0.7937204802564316
[-9.441404615658875],0.016625888839006762
[1.7742128767490861],0.9793820954070577
[-9.536292610127168],0.11128366930235671
[-3.4403759773796727],0.2943576530397262
[-0.788837052176298],-0.709534256866302
[-5.579109100012838],0.6473299818286268
[3.3996460976224725],-0.2551989338521661
[-8.254610990258794],-0.9208157287268953
[-3.603276935992536],0.44545668200803473
[-7.287259264294683],-0.8436651641517867
[-5.11283907350416],0.9208856261963104
[8.787231547070984],0.5952256345898924
[9.377078895364473],0.04768097997014548
[8.49614050851077],0.8008046196753705
[-5.411591337168478],0.7653557997884317
[6.137849339480617],-0.14482486357184451
[-9.471332964458586],0.04653818853780937
[6.523821014794219],0.23832006530185273
[-5.741145193928703],0.5158847433529644
[-1.6476173015390607],-0.997050719769899
[6.8038193216349185],0.49743024784487827
[-0.897029260797753],-0.7814768147008436
[-1.0912949171552366],-0.8872250511652029
[-8.726355189992564],-0.6430105549943872
[-8.875306979251341],-0.5222361545834332
[3.9318053856361512],-0.7105029867973052
[-3.7196082533071717],0.5463629821462052
[-2.416323803248641],-0.6633366530199907
[-1.082746170441391],-0.8832488276607695
[2.157197104090338],0.8329377598374534
[6.9106223332329435],0.5870718717611593
[-0.46201979087797085],-0.44575703884055473
[-6.043733503943836],0.23717010640183958
[-6.370835735979179],-0.08753824140613538
[-2.7577378141304827],-0.3744975577324803
[-5.3185047373464815],0.8218669855458918
[-5.9106523022399475],0.3639758591290699
[4.867209750260347],-0.9880391844693205
[1.9853296248028016],0.9153043903704204
[4.714478649380769],-0.999997816642538
[-1.5848458664282727],-0.9999013068414777
[6.752566442126412],0.45233443823185376
[-5.271021675086169],0.8479806125083652
[-1.721341693686309],-0.9886894322876785
[-1.91559174954768],-0.9411446202584053
[-6.192027332615064],0.0910317766132687
[8.053930856595592],0.9800766644856476
[6.730961669561676],0.432962192354484
[-5.077658451902664],0.9340275395819636
[-2.7165906078969577],-0.41232264544797087
[3.9028605181727336],-0.6898398850569437
[-1.7868469374760565],-0.9767517099763041
[-6.193833618107794],0.08923284331415868
[-9.451222148843868],0.026441106133801198
[-0.5091224958251388],-0.48741122208060333
[1.608337316255943],0.999295419809566
[3.4827085881807296],-0.33453893681710317
[6.5416510401636465],0.25559754962530273
[2.051253309928626],0.8867838048747362
[-2.1879500683959296],-0.8155289339468749
[0.9149922050063868],0.7925578335371348
[-0.4586143525543651],-0.44270606831419146
[-1.9096062170113157],-0.9431508840451803
[-1.2440340321428263],-0.9470865389896808
[5.234914014720907],-0.8665617750832327
[-0.8479523137890244],-0.7499273926315339
[4.239017125475364],-0.890036155948335
[-7.4555782011573335],-0.921681552380164
